address,createdAt,createdBy,description,googlePlaceId,isActive,latitude,longitude,name,updatedAt,dish_createdAt,dish_description,glutenFree,vegan,vegetarian,dish_isActive,isHero,dish_name,placeId,dish_updatedAt
"101 Broadway E, Seattle, WA 98102",2025-12-28T17:00:00Z,ADMIN,"Counter in a convenience store with top-tier Al Pastor.",ChIJnxaScQAVkFQRhXcY9mx_frs,true,0.0,0.0,Carmelo's Tacos,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Marinated pork roasted on a vertical spit.",true,false,false,true,true,Al Pastor Taco,PLACE_022,2025-12-28T17:00:00Z
"340 15th Ave E, Seattle, WA 98112",2025-12-28T17:00:00Z,ADMIN,"Indian street food specialist.",ChIJB7YXydQVkFQRmlOU9NLF6Wo,true,0.0,0.0,Spice Waala,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Kolkata-style chicken roll in paratha.",false,false,false,true,true,Chicken Kathi Roll,PLACE_023,2025-12-28T17:00:00Z
"917 E Pine St, Seattle, WA 98122",2025-12-28T17:00:00Z,ADMIN,"Quintessential Seattle ice cream shop.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Molly Moon's,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Rich and savory salted caramel ice cream.",true,false,true,true,true,Salted Caramel Ice Cream,PLACE_024,2025-12-28T17:00:00Z
"1650 E Olive Way, Seattle, WA 98102",2025-12-28T17:00:00Z,ADMIN,"Dessert shop dedicated to molten chocolate cakes.",ChIJj5xAUDIVkFQRRwwCxfLsOfU,true,0.0,0.0,Hot Cakes,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Dark chocolate cake with molten center.",false,false,true,true,true,Dark Decadence Molten Cake,PLACE_025,2025-12-28T17:00:00Z
"1500 E Olive Way, Seattle, WA 98122",2025-12-28T17:00:00Z,ADMIN,"Tiny bakery with huge flavors.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Crumble & Flake,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Perfectly caramelized butter cake.",false,false,true,true,true,Kouign Amann,PLACE_026,2025-12-28T17:00:00Z
"525 19th Ave E, Seattle, WA 98112",2025-12-28T17:00:00Z,ADMIN,"Cookie shop sharing space with ice cream.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Hello Robin,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Cookie with chocolate chunks and graham cracker.",false,false,true,true,true,Mackles'more Cookie,PLACE_027,2025-12-28T17:00:00Z
"526 19th Ave E, Seattle, WA 98112",2025-12-28T17:00:00Z,ADMIN,"Israeli street food and falafel.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Aviv Hummus Bar,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Crispy chickpea fritters with tahini.",true,true,true,true,true,Falafel,PLACE_028,2025-12-28T17:00:00Z
"1111 E Pike St, Seattle, WA 98122",2025-12-28T17:00:00Z,ADMIN,"Original cupcake craze of Seattle.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Cupcake Royale,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Chocolate cake with salted caramel buttercream.",false,false,true,true,true,Salted Caramel Cupcake,PLACE_029,2025-12-28T17:00:00Z
"1024 E Pike St, Seattle, WA 98122",2025-12-28T17:00:00Z,ADMIN,"Plant-based ice cream that tastes incredible.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Frankie & Jo's,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Date-sweetened chocolate ice cream.",true,true,true,true,true,Chocolate Date Shake,PLACE_030,2025-12-28T17:00:00Z
"5200 Rainier Ave S, Seattle, WA 98118",2025-12-28T17:00:00Z,ADMIN,"Famous for spicy, fragrant bread.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Columbia City Bakery,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Danish dough with cardamom sugar.",false,false,true,true,true,Cardamom Braid,PLACE_031,2025-12-28T17:00:00Z
"2524 S Jackson St, Seattle, WA 98144",2025-12-28T17:00:00Z,ADMIN,"Sourdough pastry specialist.",ChIJnZgkjuVrkFQRsJ6q5N-EsZA,true,0.0,0.0,Temple Pastries,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Muffin-shaped croissant filled with cream.",false,false,true,true,true,Cruffin,PLACE_032,2025-12-28T17:00:00Z
"3617 Stone Way N, Seattle, WA 98103",2025-12-28T17:00:00Z,ADMIN,"Sourdough bread and pastry bakery.",ChIJmxuTyQEVkFQRgT8FEpHkbKI,true,0.0,0.0,Sea Wolf Bakers,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Dark chocolate in flaky sourdough pastry.",false,false,true,true,true,Chocolate Croissant,PLACE_033,2025-12-28T17:00:00Z
"4225 Fremont Ave N, Seattle, WA 98103",2025-12-28T17:00:00Z,ADMIN,"Caribbean sandwich shop with a cult following.",ChIJI9abTFMUkFQRjkoqvmG4eWY,true,0.0,0.0,Paseo,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Slow roasted pork with garlic mayo and jalapenos.",true,false,false,true,true,Caribbean Roast Sandwich,PLACE_034,2025-12-28T17:00:00Z
"7302.5 15th Ave NW, Seattle, WA 98117",2025-12-28T17:00:00Z,ADMIN,"The other half of the famous sandwich rivalry.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Un Bien,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Similar to Paseo but many locals prefer it.",true,false,false,true,true,Caribbean Roast Sandwich,PLACE_035,2025-12-28T17:00:00Z
"6501 Aurora Ave N, Seattle, WA 98103",2025-12-28T17:00:00Z,ADMIN,"Caribbean food in a sand-pit patio setting.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Bongos,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Steak, plantains, and onions on a roll.",false,false,false,true,true,Desi Sandwich,PLACE_036,2025-12-28T17:00:00Z
"4301 Fremont Ave N, Seattle, WA 98103",2025-12-28T17:00:00Z,ADMIN,"Fish and chip shop with sustainable seafood.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Pacific Inn Pub,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Crispy battered cod with french fries.",false,false,false,true,true,Fish and Chips,PLACE_037,2025-12-28T17:00:00Z
"6114 Phinney Ave N, Seattle, WA 98103",2025-12-28T17:00:00Z,ADMIN,"Pies served in a cozy setting.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,A La Mode Pies,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Pineapple, coconut, and macadamia nut pie.",false,false,true,true,true,Blue Hawaiian Pie,PLACE_038,2025-12-28T17:00:00Z
"312 N 67th St, Seattle, WA 98103",2025-12-28T17:00:00Z,ADMIN,"Classic Seattle burger joint.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Red Mill Burgers,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Burger with pile of crispy bacon.",false,false,false,true,true,Bacon Deluxe,PLACE_039,2025-12-28T17:00:00Z
"111 NE 45th St, Seattle, WA 98105",2025-12-28T17:00:00Z,ADMIN,"Drive-in institution since 1954.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Dick's Drive-In,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Double patty, cheese, and special sauce.",false,false,false,true,true,Dick's Deluxe,PLACE_040,2025-12-28T17:00:00Z
"5200 University Way NE, Seattle, WA 98105",2025-12-28T17:00:00Z,ADMIN,"Hand-pulled noodles with spice.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Xi'an Noodles,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Wide noodles with spicy cumin lamb.",false,false,false,true,true,Biang Biang Noodles,PLACE_041,2025-12-28T17:00:00Z
"4510 University Way NE, Seattle, WA 98105",2025-12-28T17:00:00Z,ADMIN,"Taiwanese tea shop with fresh boba.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Don't Yell At Me,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Milk tea with chrysanthemum and honey boba.",true,false,true,true,true,Osmanthus Oolong Milk Tea,PLACE_042,2025-12-28T17:00:00Z
"4743 Ballard Ave NW, Seattle, WA 98107",2025-12-28T17:00:00Z,ADMIN,"Famous oyster bar in Ballard.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,The Walrus and the Carpenter,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Locally sourced fresh oysters on the half shell.",true,false,false,true,true,Oysters,PLACE_043,2025-12-28T17:00:00Z
"6030 12th Ave S, Seattle, WA 98108",2025-12-28T17:00:00Z,ADMIN,"Destination cake shop in Georgetown.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Deep Sea Sugar & Salt,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Earl Grey cake with honey syrup.",false,false,true,true,true,London Fog Cake,PLACE_044,2025-12-28T17:00:00Z
"1660 Harbor Ave SW, Seattle, WA 98126",2025-12-28T17:00:00Z,ADMIN,"Hawaiian-Korean fusion with a view.",ChIJsRF59nJAkFQRKis-uc-e_1k,true,0.0,0.0,Marination Ma Kai,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Spam glazed in soy ginger on rice.",true,false,false,true,true,Spam Musubi,PLACE_045,2025-12-28T17:00:00Z
"9002 14th Ave SW, Seattle, WA 98106",2025-12-28T17:00:00Z,ADMIN,"Authentic taco truck in White Center.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Taqueria La Fondita,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Fried pork shoulder tacos.",true,false,false,true,true,Carnitas Tacos,PLACE_046,2025-12-28T17:00:00Z
"9823 15th Ave SW, Seattle, WA 98106",2025-12-28T17:00:00Z,ADMIN,"Humble spot for excellent beef dip tacos.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Birrieria Tijuana,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Slow cooked beef taco with consomme dip.",true,false,false,true,true,Birria Tacos,PLACE_047,2025-12-28T17:00:00Z
"6314 1st Ave S, Seattle, WA 98108",2025-12-28T17:00:00Z,ADMIN,"French bakery with Danish influence.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Byen Bakeri,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Sponge cake layered with cream and marzipan.",false,false,true,true,true,Princess Cake,PLACE_048,2025-12-28T17:00:00Z
"8300 24th Ave NW, Seattle, WA 98117",2025-12-28T17:00:00Z,ADMIN,"Danish bakery famous for Kringle.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Larsen's Bakery,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Pretzel shaped flaky pastry with almond filling.",false,false,true,true,true,Danish Kringle,PLACE_049,2025-12-28T17:00:00Z
"615 19th Ave E, Seattle, WA 98112",2025-12-28T17:00:00Z,ADMIN,"Seattle's home for ginger beer.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Rachel's Ginger Beer,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Ginger beer with soft serve ice cream.",true,false,true,true,true,Float,PLACE_050,2025-12-28T17:00:00Z
"722 12th Ave S, Seattle, WA 98144",2025-12-28T17:00:00Z,ADMIN,"Famous for its Ube Malasada.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Fuji Bakery,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Hawaiian style doughnut filled with purple yam.",false,false,true,true,true,Ube Malasada,PLACE_051,2025-12-28T17:00:00Z
"1206 S Weiler Way, Seattle, WA 98144",2025-12-28T17:00:00Z,ADMIN,"Japanese bakery on the waterfront.",ChIJN1Xm6uVrkFQR-vBf_mRzV0k,true,0.0,0.0,Saint Bread,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Creamy egg salad on shokupan.",false,false,true,true,true,Egg Salad Sandwich,PLACE_052,2025-12-28T17:00:00Z
"2325 NW Market St, Seattle, WA 98107",2025-12-28T17:00:00Z,ADMIN,"Japanese burger joint.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Katsu Burger,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Deep fried beef patty with tonkatsu sauce.",false,false,false,true,true,Tokyo Burger,PLACE_053,2025-12-28T17:00:00Z
"1130 13th Ave, Seattle, WA 98122",2025-12-28T17:00:00Z,ADMIN,"Korean fried chicken with amazing crunch.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Bok a Bok,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Double fried chicken thighs.",false,false,false,true,true,Fried Chicken,PLACE_054,2025-12-28T17:00:00Z
"1128 12th Ave, Seattle, WA 98122",2025-12-28T17:00:00Z,ADMIN,"Nashville hot chicken.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Sisters and Brothers,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Spicy fried chicken sandwich.",false,false,false,true,true,Nashville Hot Chicken Sandwich,PLACE_055,2025-12-28T17:00:00Z
"2060 NW Market St, Seattle, WA 98107",2025-12-28T17:00:00Z,ADMIN,"Ice cream shop with unique flavors.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Salt & Straw,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Honey and lavender ice cream.",true,false,true,true,true,Honey Lavender Ice Cream,PLACE_056,2025-12-28T17:00:00Z
"434 Yale Ave N, Seattle, WA 98109",2025-12-28T17:00:00Z,ADMIN,"Soft pretzels and German treats.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Kaffeeklatsch,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Authentic German pretzel.",false,true,true,true,true,Pretzel,PLACE_057,2025-12-28T17:00:00Z
"401 1st Ave S, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"Deli specializing in cured meats.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Salumi,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Slow roasted pork seasoned with fennel.",false,false,false,true,true,Porchetta Sandwich,PLACE_058,2025-12-28T17:00:00Z
"217 James St, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"Pasta lunch spot with daily specials.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Il Corvo,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Fresh made pasta of the day.",false,false,true,true,true,Daily Pasta,PLACE_059,2025-12-28T17:00:00Z
"5339 Ballard Ave NW, Seattle, WA 98107",2025-12-28T17:00:00Z,ADMIN,"Matcha cafe with parfaits.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,TeaRepublik,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Matcha ice cream parfait.",false,false,true,true,true,Matcha Parfait,PLACE_060,2025-12-28T17:00:00Z
"600 5th Ave S, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"Japanese market with ready-to-eat sushi.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Uwajimaya,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Spam musubi from the grab-and-go section.",false,false,false,true,true,Spam Musubi,PLACE_061,2025-12-28T17:00:00Z
"8319 Greenwood Ave N, Seattle, WA 98103",2025-12-28T17:00:00Z,ADMIN,"Bakery famous for the 'Cretzel'.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Coyle's Bakeshop,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Croissant dough in a pretzel shape.",false,false,true,true,true,Cretzel,PLACE_062,2025-12-28T17:00:00Z
"632 NW 85th St, Seattle, WA 98117",2025-12-28T17:00:00Z,ADMIN,"French bakery with amazing pastries.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Rosellini's,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Caramelized croissant pastry.",false,false,true,true,true,Kouign Amann,PLACE_063,2025-12-28T17:00:00Z
"117 Pine St, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Old school soda fountain.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Shug's Soda Fountain,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Ice cream sundae with toasted marshmallow.",false,false,true,true,true,S'more Sundae,PLACE_064,2025-12-28T17:00:00Z
"431 15th Ave E, Seattle, WA 98112",2025-12-28T17:00:00Z,ADMIN,"Vegan donut shop.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Mighty-O Donuts,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Cake donut with chocolate glaze.",false,true,true,true,true,Chocolate Donut,PLACE_065,2025-12-28T17:00:00Z
"1411 34th Ave, Seattle, WA 98122",2025-12-28T17:00:00Z,ADMIN,"High end donut shop.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Rodeo Donut,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Brioche donut with unique glazes.",false,false,true,true,true,Brioche Donut,PLACE_066,2025-12-28T17:00:00Z
"2560 152nd Ave NE, Redmond, WA 98052",2025-12-28T17:00:00Z,ADMIN,"Hidden snack bar inside Indian grocery.",ChIJ_Uf-305tkFQRR6Yn6I6_t1c,true,0.0,0.0,Mayuri Foods,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Paneer cheese wrapped in paratha.",false,false,true,true,true,Paneer Kathi Roll,PLACE_067,2025-12-28T17:00:00Z
"4214 University Way NE, Seattle, WA 98105",2025-12-28T17:00:00Z,ADMIN,"Popular boba tea shop.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Mee Sum Pastry (U-District),2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Green onion pancake with beef.",false,false,false,true,true,Beef Pancake,PLACE_068,2025-12-28T17:00:00Z
"701 5th Ave, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"Highest Starbucks in the city.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Starbucks Columbia Center,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Coffee with a view.",true,true,true,true,true,Coffee,PLACE_069,2025-12-28T17:00:00Z
